ID,Title,Description,Tech_Specs,Main_Category,Second_Category,Third_Category,Forth_Category
11,Ανατομικοί Πάτοι Παπουτσιών Τζελ (Gel) Unisex,"Ανατομικοί πάτοι παπουτσιών με ειδική στρώση τζελ (gel) από την Parkside, σχεδιασμένοι για να προσφέρουν ιδανική απορρόφηση κραδασμών και να αποφορτίζουν αποτελεσματικά τα πόδια και τις αρθρώσεις κατά τη διάρκεια της ημέρας. Διαθέτουν απαλή υφασμάτινη επιφάνεια για ευχάριστη και άνετη εφαρμογή, εμποδίζοντας την εφίδρωση. Είναι unisex, κατάλληλοι τόσο για άνδρες όσο και για γυναίκες, και αποτελούν την τέλεια προσθήκη για παπούτσια εργασίας, αθλητικά ή καθημερινά υποδήματα.","Υλικό: Στρώση Gel με υφασμάτινη επένδυση | Διαθέσιμα Χρώματα: Μαύρο, Χακί | Διαθέσιμα Μεγέθη: 38/39, 40/41, 42/43, 44/45 | Ποσότητα: 1 ζευγάρι ανά συσκευασία | Ιδιότητες: Αποφόρτιση αρθρώσεων, Απορρόφηση κραδασμών, Unisex σχεδιασμός",Ρουχισμός,Ρούχα Εργασίας,,
12,Κάλτσες Εργασίας (Σετ 3 Ζευγών),"Ανθεκτικές κάλτσες εργασίας από την Parkside, ειδικά σχεδιασμένες για να προσφέρουν κορυφαία άνεση και αντοχή κατά τη διάρκεια της εργασίας σας. Είναι κατασκευασμένες από ποιοτικό μείγμα με βαμβάκι για απαλή αίσθηση, ενώ χάρη στην ειδική ίνα LYCRA® διατηρούν τέλεια το σχήμα τους και προσφέρουν ιδανική εφαρμογή χωρίς να γλιστράνε. Διαθέτουν ενισχυμένη περιοχή στα δάχτυλα και τη φτέρνα για μέγιστη ανθεκτικότητα στη φθορά, καθιστώντας τις ιδανικές για χρήση με παπούτσια εργασίας ή μπότες.","Ποσότητα: Σετ 3 ζευγών (3 ζευγάρια ανά συσκευασία) | Υλικό: Σύνθεση με βαμβάκι & ίνα LYCRA® για διατήρηση σχήματος | Διαθέσιμα Χρώματα: Γκρι, Μαύρο | Διαθέσιμα Μεγέθη: 39-42, 43-46, 47-50 | Χαρακτηριστικά: Ενισχυμένη φτέρνα & περιοχή δαχτύλων",Ρουχισμός,Ρούχα Εργασίας,,
13,Φορητό Ψυγείο Μπαταρίας & Ρεύματος PKB 20-Li A2 20V,"Έξυπνο φορητό ψυγείο 20V από την Parkside, σχεδιασμένο για μέγιστη ευελιξία καθώς μπορεί να λειτουργήσει με 3 τρόπους: με επαναφορτιζόμενη μπαταρία Parkside 20V, στην απλή πρίζα του σπιτιού ή στον αναπτήρα του αυτοκινήτου (12V). Προσφέρει γρήγορη, ομοιόμορφη ψύξη αλλά και λειτουργία διατήρησης θερμοκρασίας (ζεστό), καθιστώντας το ιδανικό για το κάμπινγκ, τις εκδρομές, το αυτοκίνητο ή το εργοτάξιο. Διαθέτει ανθεκτικό περίβλημα με ιδιαίτερα παχιά μονωτικά τοιχώματα, ειδικό λάστιχο στεγανοποίησης για μείωση των υδρατμών και αθόρυβη λειτουργία (μόλις 34 dB σε ECO mode). Η πρακτική πτυσσόμενη λαβή ασφαλίζει το καπάκι, ενώ στο πλάι περιλαμβάνει ενσωματωμένο ανοιχτήρι μπουκαλιών. *Σημείωση: Στην έκδοση αυτή δεν περιλαμβάνεται μπαταρία και φορτιστής.*","Τροφοδοσία: Μπαταρία Parkside 20V (X 20 V Team) / Πρίζα 230V / Αναπτήρας αυτοκινήτου 12V | Λειτουργίες: Ψύξη & Διατήρηση θερμοκρασίας (Ζεστό) | Επίπεδο θορύβου: 34 dB (σε λειτουργία ECO) | Ενεργειακή κλάση: E (βάσει κανονισμού Ε.Ε. 2019/2016) | Ψυκτική μονάδα: Χωρίς ανάγκη συντήρησης | Επιπλέον χαρακτηριστικά: Ενσωματωμένο ανοιχτήρι, Χώρος αποθήκευσης καλωδίων στο καπάκι, Πτυσσόμενη λαβή ασφάλισης | Σημείωση: Δεν περιλαμβάνει μπαταρία και φορτιστή",Ειδικά Εργαλεία,Εργαλεία Μπαταρίας,20v,
14,Επιτραπέζιο Δράπανο Κολωνάτο PTBM 450 A1 450W,"Στιβαρό επιτραπέζιο κολωνάτο δράπανο 450W από την Parkside, ιδανικό για διατρήσεις απόλυτης ακρίβειας σε ξύλο, μέταλλο και πλαστικά (συνθετική ύλη). Εξοπλισμένο με ανθεκτικό επαγωγικό κινητήρα και κίνηση μέσω ιμάντα με δυνατότητα ρύθμισης 5 ταχυτήτων (500–2600 min⁻¹). Διαθέτει ρυθμιζόμενο βάθος διάτρησης με καθαρή κλίμακα, καθώς και επιφάνεια διάτρησης που ρυθμίζεται σε ύψος και παίρνει αμφίπλευρη κλίση έως 45°. Για μέγιστη ασφάλεια, ενσωματώνει διακόπτη έκτακτης ανάγκης (emergency stop) στο μπροστινό μέρος, απενεργοποίηση με ανοιχτό κιβώτιο κίνησης και πτυσσόμενο διαφανή προφυλακτήρα. Η συμπαγής του βάση διαθέτει οπές για σταθερή βίδωμα πάνω στον πάγκο εργασίας σας.","Ισχύς σύνδεσης: 450 W (S6 40%) / 350 W (S1) | Ταχύτητα: 500–2600 min⁻¹ (Ρύθμιση 5 βαθμίδων) | Βάθος διάτρησης: 0–50 mm | Τύπος τσοκ: Γραναζωτό B16 (1,5–13 mm) | Μέγιστη διάμετρος διάτρησης: 25 mm σε ξύλο - 10 mm σε ατσάλι | Γωνία κλίσης πάγκου: -45° έως +45° | Πλάτος σύσφιξης μέγγενης: έως 75 mm | Μήκος καλωδίου: 1,8 m | Περιλαμβάνει: 1 μέγγενη μηχανής, 1 κλειδί τσοκ, 2 εξάγωνα κλειδιά (4 mm, 10 mm)",Εργαλεία Πάγκου,Εργαλεία Ρεύματος,,
15,Επαναφορτιζόμενος Γωνιακός Τροχός 20V PWSA 20-Li G4,"Ευέλικτος και ισχυρός επαναφορτιζόμενος γωνιακός τροχός 20V από την Parkside (έκδοση G4), ιδανικός για κοπή και λείανση μετάλλου, σκυροδέματος (μπετόν) ή πλακιδίων με τη χρήση των κατάλληλων δίσκων. Διαθέτει ηλεκτρονικά ρυθμιζόμενο αριθμό στροφών για απόλυτο έλεγχο ανάλογα με το υλικό εργασίας, καθώς και αντιολισθητική, μαλακή λαβή που μπορεί να τοποθετηθεί σε 3 διαφορετικές θέσεις. Είναι εξοπλισμένος με προφυλακτήρα 2 σε 1 (για κοπή και λείανση) με σύστημα γρήγορης ρύθμισης χωρίς εργαλεία, και προσφέρει εύκολη αλλαγή δίσκου χάρη στην αυτόματη ασφάλιση ατράκτου (Spindle Lock). Το λαστιχένιο του περίβλημα συνδυάζεται με ανθεκτική πρόσοψη αλουμινίου για μεγάλη διάρκεια ζωής. *Σημείωση: Στη συσκευασία δεν περιλαμβάνεται μπαταρία και φορτιστής.*","Τάση: 20 V | Αριθμός στροφών χωρίς φορτίο: 2500–11000 min⁻¹ (Ρυθμιζόμενος) | Μέγιστη διάμετρος δίσκου: 125 mm | Σπείρωμα ατράκτου: M14 - Spindle Lock | Συμβατότητα: Όλες οι μπαταρίες της σειράς ""X 20V TEAM"" | Προτεινόμενη μπαταρία: 20V (4 Ah) | Περιλαμβάνει: 1 δίσκο κοπής μετάλλου Ø 125 mm (προεγκατεστημένο), 1 κλειδί αλλαγής δίσκου | Χαρακτηριστικά: Λαβή 3 θέσεων, Προφυλακτήρας 2 σε 1, Πρόσοψη αλουμινίου",Εργαλεία Χειρός,Εργαλεία Μπαταρίας,20v,
16,Σετ Κατσαβίδι με Bits και Εξαρτήματα (2 Επιλογές),"Πρακτικά και εργονομικά σετ κατσαβιδιών από την Parkside, σχεδιασμένα για άνετη εργασία και γρήγορη αλλαγή εξαρτημάτων στο εργαστήριο ή το σπίτι. Διαθέτουν ευανάγνωστες σημάνσεις μεγεθών με τεχνολογία laser και διατίθενται σε δύο διαφορετικές εκδόσεις προς επιλογή: [Α] Σετ 21 τεμαχίων με κατσαβίδι, 10 bits και 10 καρυδάκια σε πρακτική θήκη αποθήκευσης, ή [Β] Σετ κατσαβιδιού καστάνιας 6 τεμαχίων με 5 εξειδικευμένα bits διπλής κεφαλής (συμπεριλαμβανομένων τύπων Torx, Phillips και ίσιων).","Εργονομική λαβή, Σήμανση laser | [Έκδοση Α] Σετ με Καρυδάκια (21 τεμ.): 1 Κατσαβίδι, 10 Bits (PH1, PH2, PH3, PZ1, PZ2, PZ3, SL3.0, SL4.0, SL5.5, SL6.0), 10 Καρυδάκια (4 έως 13 mm), Πρακτική θήκη | [Έκδοση Β] Σετ Καστάνιας (6 τεμ.): 1 Κατσαβίδι με λειτουργία καστάνιας, 5 Bits διπλής κεφαλής (PH1/PH2, T10/T15, T20/T25, SL5.0/SL6.0)",Εργαλεία Χειρός,Κατσαβίδια,,Χωρίς Ρεύμα
17,Μεγάλο Σετ Κλειδιά με Καρυδάκια και Bits (Κασετίνα 216 Τεμαχίων),"Η ολοκληρωμένη επαγγελματική κασετίνα εργαλείων 216 τεμαχίων από την Parkside, αποτελεί το απόλυτο σετ για κάθε συνεργείο, γκαράζ ή απαιτητικό εργαστήριο. Περιλαμβάνει μια τεράστια ποικιλία από καστάνιες, καρυδάκια, γερμανικά κλειδιά και bits υψηλής αντοχής, κατάλληλα για κάθε είδους εργασία και επισκευή. Όλα τα εξαρτήματα διαθέτουν premium ματ φινίρισμα και εξαιρετικά ευανάγνωστες σημάνσεις μεγεθών χάρη στην τεχνολογία χάραξης με λέιζερ (laser). Έρχεται σε μία εξαιρετικά ανθεκτική, οργανωμένη βαλίτσα μεταφοράς με μεταλλικά κουμπώματα, όπου κάθε εργαλείο έχει τη δική του καθορισμένη θέση.","Ποσότητα: 216 τεμάχια | Φινίρισμα: Ματ (Chrome Vanadium / ατσάλι υψηλής ποιότητας) | Σήμανση: Μαρκάρισμα μεγεθών με Laser | Περιλαμβάνει: Καστάνιες (1/2, 3/8, 1/4), Καρυδάκια (κοντά και μακριά), Γερμανικά κλειδιά, Προεκτάσεις, Σπαστούς συνδέσμους, Μεγάλη ποικιλία από bits (Torx, Allen, Phillips, ίσια) | Συσκευασία: Στιβαρή πλαστική κασετίνα οργανωμένης αποθήκευσης",Εργαλεία Χειρός,Εργαλεία Μηχανικού,,
18,Πολυεργαλείο - Συσκευή Λείανσης και Διάτρησης PFBS 160 D3 160W,"Πολυλειτουργικό ηλεκτρικό εργαλείο ακριβείας 160W από την Parkside, ιδανικό για διάτρηση, φρεζάρισμα, χάραξη, λείανση, στίλβωση, καθαρισμό ή κοπή. Διαθέτει ισχυρό κινητήρα με ηλεκτρονικά ρυθμιζόμενο αριθμό στροφών (10000–40000 min⁻¹) και εργονομικό σχεδιασμό με αντιολισθητική λαβή. Συνοδεύεται από εύκαμπτο άξονα μετάδοσης κίνησης (ντίζα) για εργασίες εξαιρετικής ακρίβειας, τηλεσκοπική βάση στήριξης με σφιγκτήρα πάγκου και ρυθμιζόμενο LED φωτισμό. Η αλλαγή των εξαρτημάτων γίνεται γρήγορα χάρη στην ασφάλεια ατράκτου (Spindle Lock), ενώ όλο το σετ έρχεται οργανωμένο σε πρακτικό βαλιτσάκι αποθήκευσης.","Ονομαστική ισχύς: 160 W | Αριθμός στροφών χωρίς φορτίο: n 10000–40000 min⁻¹ (Ρυθμιζόμενος) | Διάμετρος σφιγκτήρων: Ø 2,4 mm / Ø 3,2 mm (προεγκατεστημένοι) | Μήκος καλωδίου: 4 m | Χαρακτηριστικά: Ασφάλεια ατράκτου, Φωτισμός LED, Αντιολισθητική λαβή | Περιλαμβάνει: 1 ευέλικτο άξονα (ντίζα), 1 τηλεσκοπική βάση με σφιγκτήρα και γάντζο ανάρτησης, 1 εξάρτημα φρέζας, κασετίνα 42 εξαρτημάτων, μπαταρίες για το LED, βαλιτσάκι μεταφοράς",Εργαλεία Χειρός,Εργαλεία Ρεύματος,,
19,,,,,,,
20,,,,,,,
21,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
